Date,KBP1120M,KBP1078M,KBP1514M,KBP1081M,KBP1080M,KBP1090M,Net FX Exposure
20110300,139365.0,57301.0,13699.0,44844.0,7510.0,3071955.0,0.005211990410015772
20110400,129207.0,72721.0,15215.0,44566.0,6390.0,3092030.0,-0.0031322464529774936
20110500,145567.0,70697.0,9249.0,44256.0,8509.0,3069520.0,0.0041882769944486435
20110600,160142.0,70728.0,7678.0,55660.0,8189.0,3114937.0,0.0057423312253185215
20110700,146288.0,64995.0,8370.0,48073.0,8182.0,3147549.0,0.005295549012898608
20110800,165796.0,62823.0,15877.0,51762.0,8184.0,3279526.0,0.008278635388162802
20110900,193192.0,71052.0,13012.0,58870.0,10883.0,3366939.0,0.01169459856564078
20111000,198851.0,67371.0,11383.0,67111.0,10988.0,3373351.0,0.012449934797772304
20111100,229263.0,77258.0,12186.0,68669.0,11553.0,3440013.0,0.01732464383128785
20111200,235198.0,69668.0,10909.0,59283.0,12625.0,3405067.0,0.024291151980269404
20120100,223260.0,67881.0,11638.0,49150.0,17450.0,3400176.0,0.022687355007505496
20120200,196707.0,66688.0,14180.0,48810.0,12920.0,3391861.0,0.015952599472678863
20120300,218496.0,73451.0,15491.0,51235.0,18017.0,3395575.0,0.017758995162822203
20120400,214474.0,74095.0,11677.0,49524.0,13328.0,3356764.0,0.019617107428463842
20120500,233597.0,75805.0,14264.0,46588.0,21320.0,3474226.0,0.021765999103109585
20120600,239735.0,73295.0,19422.0,46676.0,20291.0,3505123.0,0.022838285560877608
20120700,239740.0,76972.0,18361.0,48168.0,20324.0,3565364.0,0.02129235612408719
20120800,236179.0,76847.0,13653.0,47853.0,19433.0,3554682.0,0.02205344950687572
20120900,235502.0,83310.0,17645.0,48759.0,23753.0,3582724.0,0.017315037384961835
20121000,242586.0,81905.0,19350.0,62645.0,23080.0,3591456.0,0.015482857091942656
20121100,268861.0,85194.0,23436.0,80694.0,20025.0,3684345.0,0.01615266757049082
20121200,232201.0,91182.0,23689.0,81777.0,13777.0,3648222.0,0.005968935004503564
20130100,253168.0,90514.0,22038.0,84810.0,20804.0,3646349.0,0.009599190861873068
20130200,264881.0,81625.0,28182.0,85232.0,20029.0,3671693.0,0.013566766066770833
20130300,274072.0,83514.0,27342.0,94505.0,21710.0,3696740.0,0.012714175192196368
20130400,271179.0,91188.0,26079.0,97579.0,16225.0,3712352.0,0.010803932385722043
20130500,281123.0,89479.0,21846.0,82024.0,16747.0,3763897.0,0.018870601400622813
20130600,299814.0,101633.0,20857.0,80767.0,22173.0,3782087.0,0.019667448157591298
20130700,291024.0,104217.0,23865.0,73310.0,15830.0,3732125.0,0.019774793180828615
20130800,306759.0,101420.0,26202.0,77963.0,20856.0,3786917.0,0.02120933730525385
20130900,276472.0,98451.0,21608.0,73671.0,17973.0,3759656.0,0.017227373993790922
20131000,266648.0,91647.0,19160.0,75353.0,20225.0,3749502.0,0.016072267730487942
20131100,254227.0,100293.0,17984.0,81557.0,21000.0,3807531.0,0.008770250327574483
20131200,262409.0,108165.0,20552.0,92782.0,13037.0,3836199.0,0.007265785742606157
20140100,293321.0,105280.0,27416.0,117263.0,23436.0,3984041.0,0.005001454553304045
20140200,276178.0,109141.0,34771.0,104928.0,18394.0,3916681.0,0.0022835661112048694
20140300,302708.0,111411.0,37634.0,106585.0,18936.0,3955437.0,0.007114763804858983
20140400,279988.0,122257.0,29835.0,101266.0,19416.0,3948140.0,0.0018271895120233832
20140500,298146.0,122951.0,24202.0,97414.0,25194.0,3961017.0,0.007166088911004421
20140600,321833.0,132278.0,24809.0,98901.0,28641.0,4019114.0,0.009256766541083433
20140700,302169.0,139635.0,30052.0,106897.0,22708.0,4006114.0,0.0007181523042030256
20140800,296339.0,128801.0,26412.0,107609.0,19730.0,4037835.0,0.0034144535376012144
20140900,315520.0,139096.0,31229.0,114980.0,18044.0,4123903.0,0.0029513303295446085
20141000,300035.0,118525.0,35103.0,128881.0,12994.0,4096506.0,0.0011063086444887424
20141100,321146.0,140326.0,31407.0,133769.0,14585.0,4186599.0,0.0002529499481560092
20141200,326989.0,137193.0,30953.0,159655.0,7396.0,4179944.0,-0.001963662671078847
20150100,329500.0,139040.0,28750.0,172437.0,13797.0,4286258.0,-0.005721540793857952
20150200,335892.0,154850.0,27092.0,164287.0,13018.0,4275541.0,-0.005462466621183144
20150300,348380.0,139246.0,37361.0,162371.0,16238.0,4370594.0,-0.0015640894578631645
20150400,335767.0,139385.0,33273.0,164648.0,19701.0,4345771.0,-0.0048875101794365145
20150500,354017.0,137976.0,28984.0,163805.0,16118.0,4376859.0,0.001629935988342325
20150600,359972.0,145533.0,28714.0,148245.0,21700.0,4434422.0,0.00355852465101427
20150700,371849.0,153830.0,30382.0,148824.0,24818.0,4458742.0,0.0031387777090488753
20150800,349697.0,148238.0,32875.0,156812.0,23161.0,4547945.0,-0.0025042079444672263
20150900,365886.0,165500.0,32117.0,158081.0,17858.0,4614200.0,-0.0016622599800615492
20151000,358796.0,153170.0,29731.0,175128.0,16125.0,4552270.0,-0.003373701472012864
20151100,382946.0,163570.0,29624.0,208410.0,14548.0,4684351.0,-0.0070887087667000186
20151200,405986.0,193753.0,22765.0,204173.0,11575.0,4827022.0,-0.0054443505747436
20160100,453582.0,198390.0,31657.0,232616.0,25397.0,4854815.0,-0.007101815414181591
20160200,442861.0,194309.0,31491.0,204258.0,22166.0,4887766.0,-0.001915599069186209
20160300,415647.0,195825.0,30313.0,171528.0,21259.0,4853285.0,-0.0006754188142670377
20160400,380163.0,177950.0,26628.0,156306.0,19953.0,4769713.0,-0.00014130829255345134
20160500,384002.0,180289.0,29958.0,168667.0,20013.0,4839154.0,-0.0030842167866532042
20160600,388404.0,186205.0,22011.0,160361.0,23853.0,4839645.0,-0.0008318791977510747
20160700,369913.0,165653.0,21484.0,173590.0,18216.0,4837558.0,-0.0018666442862287128
20160800,390149.0,179638.0,22936.0,177975.0,19795.0,4866827.0,-0.002094794000279854
20160900,372047.0,173146.0,16698.0,189848.0,13641.0,4845655.0,-0.004392801385983938
20161000,384544.0,174151.0,15580.0,148518.0,13286.0,4874470.0,0.0067718131407106825
20161100,388173.0,181682.0,13319.0,165971.0,12027.0,4871911.0,0.003114588915930525
20161200,374185.0,176806.0,16312.0,178790.0,8523.0,4870414.0,-0.0012824371809049499
20170100,363602.0,173591.0,11593.0,179596.0,8447.0,4883458.0,-0.0019709394449588797
20170200,358102.0,174233.0,13600.0,180897.0,7549.0,4903313.0,-0.003707085393080148
20170300,369795.0,176778.0,11275.0,181564.0,7275.0,4934297.0,-0.0014383001266441806
20170400,346870.0,170907.0,8825.0,150698.0,15645.0,4910900.0,0.0001618847869026044
20170500,363411.0,171906.0,14309.0,144230.0,9082.0,4926947.0,0.004847626735176976
20170600,361197.0,171140.0,16258.0,140179.0,10344.0,4940429.0,0.004711331748720607
20170700,377915.0,170426.0,9997.0,149679.0,9628.0,5008710.0,0.007623719480664682
20170800,366458.0,168069.0,11139.0,148302.0,14722.0,5004424.0,0.004840916756853536
