Date,KBP1120M,KBP1078M,KBP1514M,KBP1081M,KBP1080M,KBP1090M
19910700,9579.0,1439.0,46.0,1818.0,7196.0,253705.0
19910800,10449.0,511.0,101.0,1430.0,9598.0,249712.0
19910900,10126.0,598.0,94.0,837.0,9616.0,250549.0
19911000,10694.0,582.0,54.0,1265.0,9180.0,248449.0
19911100,10658.0,630.0,54.0,1163.0,9401.0,256664.0
19911200,9066.0,462.0,79.0,1062.0,8470.0,256479.0
19920100,9227.0,391.0,86.0,391.0,9183.0,249360.0
19920200,9401.0,349.0,97.0,1021.0,8220.0,253134.0
19920300,9559.0,313.0,97.0,772.0,9150.0,258662.0
19920400,9856.0,404.0,86.0,760.0,8761.0,258697.0
19920500,9486.0,497.0,93.0,813.0,8521.0,255387.0
19920600,9297.0,529.0,85.0,830.0,8722.0,254936.0
19920700,9265.0,656.0,186.0,723.0,8706.0,256672.0
19920800,9240.0,743.0,99.0,618.0,8482.0,259314.0
19920900,8954.0,644.0,109.0,760.0,7991.0,260410.0
19921000,9623.0,551.0,78.0,678.0,9137.0,263787.0
19921100,10058.0,622.0,80.0,743.0,9272.0,268083.0
19921200,9877.0,686.0,78.0,831.0,9113.0,270332.0
19930100,10610.0,615.0,103.0,1261.0,9764.0,267827.0
19930200,10740.0,842.0,76.0,1045.0,9679.0,267783.0
19930300,11127.0,582.0,69.0,1622.0,9881.0,273979.0
19930400,10979.0,673.0,72.0,1626.0,9796.0,268068.0
19930500,11635.0,561.0,84.0,1223.0,9786.0,266531.0
19930600,11286.0,677.0,124.0,1087.0,10176.0,274257.0
19930700,11763.0,678.0,84.0,1697.0,10670.0,275905.0
19930800,11429.0,685.0,66.0,1483.0,10257.0,279334.0
19930900,11662.0,776.0,57.0,1126.0,10516.0,285654.0
19931000,11219.0,785.0,23.0,1189.0,10756.0,286791.0
19931100,11036.0,931.0,35.0,1701.0,10485.0,292521.0
19931200,10865.0,1113.0,25.0,1873.0,9518.0,294555.0
19940100,11076.0,884.0,297.0,2045.0,10351.0,293050.0
19940200,11027.0,1053.0,290.0,2410.0,9773.0,299076.0
19940300,11034.0,1192.0,25.0,3437.0,9111.0,307043.0
19940400,11593.0,1273.0,183.0,3338.0,8977.0,307636.0
19940500,12952.0,1107.0,334.0,3422.0,10636.0,311555.0
19940600,12642.0,1207.0,171.0,3265.0,10667.0,318468.0
19940700,14066.0,1124.0,263.0,4821.0,11287.0,319132.0
19940800,15010.0,1063.0,268.0,5408.0,12244.0,325424.0
19940900,14818.0,826.0,255.0,5205.0,12521.0,328742.0
19941000,15159.0,968.0,607.0,5849.0,12429.0,333904.0
19941100,14479.0,908.0,173.0,5542.0,12529.0,340181.0
19941200,16058.0,1251.0,166.0,4142.0,13923.0,344111.0
19950100,15296.0,1480.0,137.0,4166.0,13407.0,345599.0
